bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
3,72,2880,1568,77,26,0,0,3,3.35
4,72,2880,1568,77,26,0,0,3,3.49
5,72,2880,1568,77,26,0,0,3,3.62
6,72,2880,1568,77,26,0,0,3,3.74
7,72,2880,1568,77,26,0,0,3,3.85
8,72,2880,1568,77,26,0,0,3,3.96
9,72,2880,1568,77,26,0,0,3,4.06
10,72,2880,1568,77,26,0,0,3,4.15
11,72,2880,1568,77,26,0,0,3,4.23
12,72,2880,1568,77,26,0,0,3,4.3
13,72,2880,1568,77,26,0,0,3,4.37
14,72,2880,1568,77,26,0,0,3,4.42
15,72,2880,1568,77,26,0,0,3,4.47
16,72,2880,1568,77,26,0,0,3,4.51
17,72,2880,1568,77,26,0,0,3,4.54
18,72,2880,1568,77,26,0,0,3,4.57
19,72,2880,1568,77,26,0,0,3,4.58
20,72,2880,1568,77,26,0,0,3,4.59
21,72,2880,1568,77,26,0,0,3,4.59
22,72,2880,1568,77,26,0,0,3,4.58
23,72,2880,1568,77,26,0,0,3,4.56
24,72,2880,1568,77,26,0,0,3,4.54
25,72,2880,1568,77,26,0,0,3,4.51
26,72,2880,1568,77,26,0,0,3,4.46
2,72,2880,1568,77,26,0,1,1,3.33
3,72,2880,1568,77,26,0,1,1,3.5
4,72,2880,1568,77,26,0,1,1,3.67
5,72,2880,1568,77,26,0,1,1,3.82
6,72,2880,1568,77,26,0,1,1,3.97
7,72,2880,1568,77,26,0,1,1,4.1
8,72,2880,1568,77,26,0,1,1,4.23
9,72,2880,1568,77,26,0,1,1,4.35
10,72,2880,1568,77,26,0,1,1,4.45
11,72,2880,1568,77,26,0,1,1,4.55
12,72,2880,1568,77,26,0,1,1,4.63
13,72,2880,1568,77,26,0,1,1,4.71
14,72,2880,1568,77,26,0,1,1,4.78
15,72,2880,1568,77,26,0,1,1,4.84
16,72,2880,1568,77,26,0,1,1,4.88
17,72,2880,1568,77,26,0,1,1,4.92
18,72,2880,1568,77,26,0,1,1,4.95
19,72,2880,1568,77,26,0,1,1,4.97
20,72,2880,1568,77,26,0,1,1,4.98
21,72,2880,1568,77,26,0,1,1,4.98
22,72,2880,1568,77,26,0,1,1,4.96
23,72,2880,1568,77,26,0,1,1,4.94
24,72,2880,1568,77,26,0,1,1,4.91
25,72,2880,1568,77,26,0,1,1,4.87
26,72,2880,1568,77,26,0,1,1,4.82
2,72,2880,1568,77,26,0,1,2,3.33
3,72,2880,1568,77,26,0,1,2,3.5
4,72,2880,1568,77,26,0,1,2,3.66
5,72,2880,1568,77,26,0,1,2,3.81
6,72,2880,1568,77,26,0,1,2,3.95
7,72,2880,1568,77,26,0,1,2,4.09
8,72,2880,1568,77,26,0,1,2,4.21
9,72,2880,1568,77,26,0,1,2,4.32
10,72,2880,1568,77,26,0,1,2,4.43
11,72,2880,1568,77,26,0,1,2,4.52
12,72,2880,1568,77,26,0,1,2,4.61
13,72,2880,1568,77,26,0,1,2,4.68
14,72,2880,1568,77,26,0,1,2,4.75
15,72,2880,1568,77,26,0,1,2,4.8
16,72,2880,1568,77,26,0,1,2,4.85
17,72,2880,1568,77,26,0,1,2,4.89
18,72,2880,1568,77,26,0,1,2,4.92
19,72,2880,1568,77,26,0,1,2,4.94
20,72,2880,1568,77,26,0,1,2,4.94
21,72,2880,1568,77,26,0,1,2,4.94
22,72,2880,1568,77,26,0,1,2,4.93
23,72,2880,1568,77,26,0,1,2,4.91
24,72,2880,1568,77,26,0,1,2,4.88
25,72,2880,1568,77,26,0,1,2,4.85
26,72,2880,1568,77,26,0,1,2,4.8
2,72,2880,1568,77,26,0,1,3,3.28
3,72,2880,1568,77,26,0,1,3,3.44
4,72,2880,1568,77,26,0,1,3,3.59
5,72,2880,1568,77,26,0,1,3,3.73
6,72,2880,1568,77,26,0,1,3,3.86
7,72,2880,1568,77,26,0,1,3,3.99
8,72,2880,1568,77,26,0,1,3,4.1
9,72,2880,1568,77,26,0,1,3,4.21
10,72,2880,1568,77,26,0,1,3,4.3
11,72,2880,1568,77,26,0,1,3,4.39
12,72,2880,1568,77,26,0,1,3,4.47
13,72,2880,1568,77,26,0,1,3,4.54
14,72,2880,1568,77,26,0,1,3,4.6
15,72,2880,1568,77,26,0,1,3,4.65
16,72,2880,1568,77,26,0,1,3,4.7
17,72,2880,1568,77,26,0,1,3,4.73
18,72,2880,1568,77,26,0,1,3,4.76
19,72,2880,1568,77,26,0,1,3,4.78
20,72,2880,1568,77,26,0,1,3,4.79
21,72,2880,1568,77,26,0,1,3,4.79
22,72,2880,1568,77,26,0,1,3,4.78
23,72,2880,1568,77,26,0,1,3,4.76
24,72,2880,1568,77,26,0,1,3,4.73
25,72,2880,1568,77,26,0,1,3,4.7
26,72,2880,1568,77,26,0,1,3,4.65
2,72,2880,1568,77,30,0,0,1,3.3
3,72,2880,1568,77,30,0,0,1,3.47
4,72,2880,1568,77,30,0,0,1,3.64
5,72,2880,1568,77,30,0,0,1,3.79
6,72,2880,1568,77,30,0,0,1,3.94
7,72,2880,1568,77,30,0,0,1,4.07
8,72,2880,1568,77,30,0,0,1,4.2
9,72,2880,1568,77,30,0,0,1,4.32
10,72,2880,1568,77,30,0,0,1,4.42
11,72,2880,1568,77,30,0,0,1,4.52
12,72,2880,1568,77,30,0,0,1,4.6
13,72,2880,1568,77,30,0,0,1,4.68
14,72,2880,1568,77,30,0,0,1,4.75
15,72,2880,1568,77,30,0,0,1,4.8
16,72,2880,1568,77,30,0,0,1,4.85
