bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,SI,TI,pred
15,72,2880,1568,77,18,0,1,3,35.72,24.41,4.13
16,72,2880,1568,77,18,0,1,3,35.72,24.41,4.14
17,72,2880,1568,77,18,0,1,3,35.72,24.41,4.14
18,72,2880,1568,77,18,0,1,3,35.72,24.41,4.15
2,72,2880,1568,77,18,0,1,3,48.04,40.5,4.07
3,72,2880,1568,77,18,0,1,3,48.04,40.5,4.07
4,72,2880,1568,77,18,0,1,3,48.04,40.5,4.08
5,72,2880,1568,77,18,0,1,3,48.04,40.5,4.08
6,72,2880,1568,77,18,0,1,3,48.04,40.5,4.08
7,72,2880,1568,77,18,0,1,3,48.04,40.5,4.09
8,72,2880,1568,77,18,0,1,3,48.04,40.5,4.09
9,72,2880,1568,77,18,0,1,3,48.04,40.5,4.09
10,72,2880,1568,77,18,0,1,3,48.04,40.5,4.1
11,72,2880,1568,77,18,0,1,3,48.04,40.5,4.1
12,72,2880,1568,77,18,0,1,3,48.04,40.5,4.11
13,72,2880,1568,77,18,0,1,3,48.04,40.5,4.11
14,72,2880,1568,77,18,0,1,3,48.04,40.5,4.12
15,72,2880,1568,77,18,0,1,3,48.04,40.5,4.12
